2017-01-01T00:00:00.77928493Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:01:01.109572303Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:03:23.553001439Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:04:24.096335452Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:05:02.531640225Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:06:02.862742932Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:07:26.429169033Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:08:32.474887683Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:08:44.782353266Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:09:45.140418537Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:10:09.544179023Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:11:10.16218619Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:13:30.33824858Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:14:30.923825811Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:17:14.76658171Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:19:02.204150623Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:19:14.387322782Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:20:14.664315708Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:20:16.370977868Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:22:05.669074321Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:23:02.200261661Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:24:23.425388598Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:25:15.475835085Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:26:16.10827572Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:27:02.182668623Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:28:02.43875118Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:28:38.536328171Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:29:39.138724813Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:29:57.671882017Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:30:58.225543356Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:31:07.541454033Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:32:47.327630641Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:32:49.627707851Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:33:49.830056931Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:34:15.738468666Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:35:16.012307643Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:35:37.347737761Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:36:37.652714808Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:38:59.800055323Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:40:00.546922277Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:40:51.306492492Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:41:51.945776375Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:43:17.019470231Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:44:23.91140545Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:44:46.624230218Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:45:46.885618893Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:46:54.339344341Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:47:54.604853537Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:48:05.588821123Z,2018,OFFLINE,AVAILABLE
2017-01-01T00:50:40.899169674Z,2018,AVAILABLE,OFFLINE
2017-01-01T00:51:43.159612114Z,2018,OFFLINE,AVAILABLE
